id,words,counts
0,doubt,6
1,ill,79
2,convince,9
3,anytime,1
4,soon,17
5,read,43
6,vision,3
7,bit,53
8,im,423
9,supporter,6
10,progressive,25
11,liberale,2
12,thats,132
13,help,45
14,sure,65
15,shall,14
16,dm,4
17,omg,39
18,berlin,95
19,yet,36
20,said,85
21,hi,43
22,booooo,1
23,real,30
24,shame,11
25,hell,29
26,exist,7
27,vile,18
28,man,88
29,deserves,7
30,burn,6
31,voters,57
32,refused,10
33,respect,18
34,mandate,7
35,members,30
36,comply,1
37,next,57
38,time,165
39,proving,1
40,theory,6
41,photo,17
42,taken,17
43,jan,3
44,feb,1
45,smile,5
46,look,71
47,like,312
48,hottest,1
49,new,102
50,crime,7
51,drama,7
52,netflix,5
53,risk,6
54,groko,11
55,parties,19
56,lapping,1
57,afd,23
58,policies,11
59,ive,131
60,many,105
61,times,27
62,uk,224
63,vote,201
64,response,23
65,merkels,6
66,brave,3
67,decision,23
68,let,58
69,million,13
70,refugees,13
71,furore,3
72,die,67
73,germany,66
74,liberal,45
75,afraid,14
76,ich,9
77,habe,3
78,gerade,2
79,geschrieben,1
80,um,4
81,sie,7
82,zu,8
83,bitten,1
84,zweijhrige,1
85,fdpbeitrittsgrenze,1
86,fr,18
87,neue,3
88,deutsche,3
89,einwohner,1
90,abzuschaffen,1
91,viele,2
92,brexitflchtlinge,1
93,wollen,4
94,sich,5
95,einmischen,1
96,argument,20
97,know,201
98,german,95
99,politics,43
100,took,27
101,tour,2
102,dome,1
103,think,199
104,done,68
105,nope,13
106,whole,34
107,abandoning,2
108,principles,6
109,cling,1
110,onto,6
111,power,22
112,thing,89
113,knew,12
114,anything,63
115,history,16
116,consistent,11
117,desire,1
118,amiable,1
119,coalition,31
120,coalitions,3
121,diametrically,3
122,opposed,18
123,happen,29
124,little,47
125,tip,7
126,british,67
127,politicos1,1
128,take,82
129,today,128
130,bad,56
131,absolutely,47
132,zero,16
133,understanding,4
134,whatsoever2,1
135,spd,18
136,survived,2
137,nazis,10
138,theyll,33
139,survive,3
140,another,57
141,death,14
142,proclamations,1
143,britische,1
144,leute,1
145,mit,16
146,ansichten,1
147,ber,7
148,politik,2
149,freue,2
150,mich,2
151,darauf,2
152,dass,6
153,er,3
154,heraus,1
155,findet,1
156,wie,5
157,recht,1
158,grnen,7
159,wirklich,1
160,sind,9
161,hey,37
162,guys,39
163,may,127
164,jumping,6
165,news,56
166,ukips,3
167,leader,42
168,noconned,1
169,checked,6
